,concept_id,concept_name,hierarchy
25785,32911000,Homeless (finding),finding
25786,32912007,Thrombolysis of coronary artery by intravenous infusion (procedure),procedure
25787,32913002,Medullary carcinoma (morphologic abnormality),morphologic abnormality
25788,32914008,Restless legs syndrome (disorder),disorder
25790,32916005,Nephrosclerosis (disorder),disorder
25791,32918006,Anastomosis of esophagus by intrathoracic approach (procedure),procedure
25792,32919003,Fusion with defective stereopsis (disorder),disorder
25793,32921008,Audiogram (procedure),procedure
25799,32929005,Structure of superior lateral genicular artery (body structure),body structure
25801,32931001,Calcification of pleura (disorder),disorder
25803,32934009,Endoscopic brush biopsy of duodenum (procedure),procedure
25804,32936006,Structure of inferior alveolar artery (body structure),body structure
25805,32937002,Crisis (finding),finding
25806,32939004,Morbid hunger (finding),finding
25807,32940002,Tropical phagedenic ulcer (disorder),disorder
25808,32942005,Glanzmann's thrombasthenia (disorder),disorder
25811,32945007,Entire vein of head and neck (body structure),body structure
25813,32947004,"Radiation therapy isodose plan, isocentric (procedure)",procedure
25815,32951002,Feminized male (finding),finding
25816,32952009,Structure of inferior articular process of first thoracic vertebra (body structure),body structure
25820,32957003,Replacement of prosthesis of upper extremity (procedure),procedure
25821,32958008,Congenital micrognathism (disorder),disorder
25822,32959000,Structure of eccrine intraepidermal duct (body structure),body structure
25824,32961009,Excision of scar of mastoid (procedure),procedure
25825,32962002,Computed tomography of abdomen with contrast (procedure),procedure
25826,32963007,Incision and drainage of nonobstetrical perineal abscess (procedure),procedure
25827,32967008,Structure of diaphragma sellae (body structure),body structure
25828,32968003,Inflammatory carcinoma (morphologic abnormality),morphologic abnormality
25831,32972004,"Acetabuloplasty, Whitman type procedure (procedure)",procedure
25832,32973009,Increased hormonal requirement (finding),finding
25836,32980006,All sternal bone marrow (body structure),body structure
25839,32984002,Neonatal polycythemia (disorder),disorder
25840,32985001,Greig cephalopolysyndactyly syndrome (disorder),disorder
25841,32987009,Both fallopian tubes (body structure),body structure
25842,32988004,Open fracture of multiple sites of phalanges of hand (disorder),disorder
25843,32989007,Unsatisfactory clinical laboratory specimen identified (procedure),procedure
25845,32993001,Structure of intrabiventral fissure (body structure),body structure
25847,32997000,Excisional biopsy of joint structure of foot and toe (procedure),procedure
25848,32998005,Latzko operation on vagina (procedure),procedure
25849,32999002,Complication of obstetrical surgical wound (disorder),disorder
25850,33000001,Atrophy of vas deferens (disorder),disorder
25851,33002009,Macromolecular defective synthesis (finding),finding
25852,33003004,Structure of proximal shaft of femur (body structure),body structure
25853,33005006,Reversed vascular flow (finding),finding
25854,33006007,Restrictive cardiomyopathy secondary to endocardial fibroelastosis (disorder),disorder
25855,33007003,Skin structure of fourth toe (body structure),body structure
25858,33013007,Gleason grade score 8 out of 10 (finding),finding
25859,33014001,Centrocecal scotoma (finding),finding
25860,33015000,Laparoscopy with fulguration of fallopian tube using electrical energy (procedure),procedure
25864,33020000,Retained antrum syndrome (disorder),disorder
25867,33028007,Acute vulvitis (disorder),disorder
25869,33030009,Seminal vesiculectomy (procedure),procedure
25871,33033006,March myoglobinuria (disorder),disorder
25875,33038002,Normal hematopoiesis (finding),finding
25876,33039005,Arthrodesis of metacarpophalangeal joint with internal fixation and autograft (procedure),procedure
25878,33041006,Closed fracture of proximal end of ulna (disorder),disorder
25879,33042004,Parasitic skin infestation (disorder),disorder
25881,33044003,Structure of mucous membrane of oropharynx (body structure),body structure
25883,33047005,Partial thickness burn of elbow (disorder),disorder
25884,33048000,Peripheral visual field defect (finding),finding
25885,33049008,Skin structure of zygomatic region (body structure),body structure
25886,33050008,Pulmonary resuscitation (procedure),procedure
25887,33052000,Structure of endocardium of left atrium (body structure),body structure
25889,33054004,Polymerization (finding),finding
25891,33056002,Deep third degree burn of chin (disorder),disorder
25893,33058001,Placenta accreta without hemorrhage (disorder),disorder
25894,33059009,Trichofolliculoma (morphologic abnormality),morphologic abnormality
25895,33060004,Cerebellar white matter structure (body structure),body structure
25900,33064008,Disorder of sclera (disorder),disorder
25901,33065009,"Electromyography, four extremities and related paraspinal areas (procedure)",procedure
25904,33070002,Problem with care of sick person (finding),finding
25906,33072005,Traumatic hemothorax with open wound into thorax (disorder),disorder
25909,33075007,Body identified by dental examination (finding),finding
25911,33078009,"Severe recurrent major depression with psychotic features, mood-congruent (disorder)",disorder
25913,33080003,"Fracture, ununited (morphologic abnormality)",morphologic abnormality
25914,33081004,Structure of arch of fourth lumbar vertebra (body structure),body structure
25916,33083001,Hemorrhagic cyst of jaw (disorder),disorder
25917,33084007,Personal identity confusion (finding),finding
25918,33085008,Orbital venography (procedure),procedure
25920,33089002,Poisoning caused by marine toad (disorder),disorder
25921,33090006,Yabapox (disorder),disorder
25923,33093008,Simian adenovirus infection (disorder),disorder
25924,33094002,Tracheocele (disorder),disorder
25925,33095001,Fistulectomy of cornea (procedure),procedure
25928,33099007,Incudectomy (procedure),procedure
25929,33100004,Beta vulgaris poisoning (disorder),disorder
25931,33102007,Structure of descending branch of occipital artery (body structure),body structure
25932,33103002,"Structure of articular surface, second metacarpal, of third metacarpal bone (body structure)",body structure
25933,33104008,Female urethrorrhaphy (procedure),procedure
25936,33107001,Reattachment of tendon (procedure),procedure
25939,33112000,Removal of rice bodies from tendon sheaths of hand (procedure),procedure
25941,33116002,Hydroxykynureninuria (disorder),disorder
25942,33118001,Closed fracture of acetabulum (disorder),disorder
25944,33120003,Intubation of stomach (procedure),procedure
25945,33121004,Abnormal granulocyte production (finding),finding
25946,33122006,Disease caused by Pentastoma (disorder),disorder
25948,33125008,Hematoidin pigmentation (morphologic abnormality),morphologic abnormality
25949,33126009,Structure of retropubic space (body structure),body structure
25951,33129002,Postmastectomy lymphedema syndrome (disorder),disorder
25952,33131006,Closure of nephrocutaneous fistula (procedure),procedure
25953,33132004,Intervertebral disc rupture (disorder),disorder
25954,33134003,Abscess of forehead (disorder),disorder
25955,33135002,Recurrent major depression in partial remission (disorder),disorder
25958,33138000,Structure of substantia gelatinosa of posterior horn of spinal cord (body structure),body structure
25959,33139008,Spectrophotometric measurement (procedure),procedure
25961,33141009,Open fracture of upper end of forearm (disorder),disorder
25963,33144001,Parasitic cirrhosis (disorder),disorder
25965,33147008,Posterior cord syndrome due to open fracture of C1-C4 level (disorder),disorder
25966,33148003,Arthrography (procedure),procedure
25967,33149006,Pancreatectomy (procedure),procedure
25969,33154002,Structure of supraspinous ligament (body structure),body structure
25970,33155001,Nonvenomous insect bite of flank with infection (disorder),disorder
25971,33156000,Incision of tendon (procedure),procedure
25972,33158004,Excision of gastrocolic ligament (procedure),procedure
25980,33167004,Complication of transplanted liver (disorder),disorder
25981,33168009,Entropion of eyelid (disorder),disorder
25982,33169001,"Factor XI deficiency, type II (disorder)",disorder
25983,33170000,Mucinous adenoma (morphologic abnormality),morphologic abnormality
25986,33173003,Closed fracture of clavicle (disorder),disorder
25989,33176006,"Hemangioendothelioma, malignant (morphologic abnormality)",morphologic abnormality
25990,33178007,Delayed union of longitudinal fracture (morphologic abnormality),morphologic abnormality
25991,33179004,Suture of jejunum (procedure),procedure
25992,33180001,Structure of right superior parathyroid gland (body structure),body structure
25994,33183004,Post infectious thrombocytopenic purpura (disorder),disorder
25995,33184005,Echopraxia (finding),finding
25996,33185006,Structure of lateral occipitotemporal gyrus (body structure),body structure
25997,33186007,Passive discharge of semen from urethra (finding),finding
25998,33187003,Incision of esophagus (procedure),procedure
26000,33189000,C>5< complement assay (procedure),procedure
26002,33191008,Structure of cavum vergae (body structure),body structure
26003,33192001,Closed fracture of lower end of radius AND ulna (disorder),disorder
26006,33195004,External beam radiation therapy procedure (procedure),procedure
26015,33209009,Idiopathic progressive polyneuropathy (disorder),disorder
26017,33211000,Complication of anesthesia (disorder),disorder
26022,33217001,Carotene pigmentation of skin (disorder),disorder
26024,33220009,Vestibuloplasty of entire arch (procedure),procedure
